"ship_type","fuel_type","year","consumption"
"C","MeOH",2048,1066.69265756985
"C","NH3",2048,1128.93997445722
"C","RefPO",2048,386.041152263374
"C","H2",2048,1447.65432098765
"T","Oil",2048,497.896579156722
"T","LNG",2048,1000.23866348449
"T","LPG",2048,963.192787059135
"T","MeOH",2048,1064.58150148641
"T","NH3",2048,1046.22664801251
"T","RefPO",2048,444.550517104216
"T","H2",2048,2000.47732696897
"B","Oil",2048,554.632063624947
"B","LNG",2048,1238.01799916283
"B","LPG",2048,1100.46044370029
"B","MeOH",2048,1362.25419135952
"B","NH3",2048,1402.5178620401
"B","RefPO",2048,498.875401144133
"B","H2",2048,1386.58015906237
"G","Oil",2048,471.829787234042
"G","LNG",2048,834.127659574468
"G","LPG",2048,898.723404255319
"G","MeOH",2048,1125.76931690929
"G","NH3",2048,1171.43947175348
"G","RefPO",2048,419.404255319149
"G","H2",2048,1600.85106382979
"O","Oil",2048,247.57094365241
"O","LNG",2048,497.352342158859
"O","LPG",2048,515.772799275854
"O","MeOH",2048,716.652731625397
"O","NH3",2048,768.323618231617
"O","RefPO",2048,294.727313871917
"O","H2",2048,1160.48879837067
"C","Oil",2049,400.079012345679
"C","LNG",2049,659.470899470899
"C","LPG",2049,806.01998824221
"C","MeOH",2049,1052.83950617284
"C","NH3",2049,1114.27841634738
"C","RefPO",2049,381.027630805408
"C","H2",2049,1428.85361552028
"T","Oil",2049,491.430389817025
"T","LNG",2049,987.248550971701
"T","LPG",2049,950.683789824601
"T","MeOH",2049,1050.75576770087
"T","NH3",2049,1032.63928894741
"T","RefPO",2049,438.7771337652
"T","H2",2049,1974.4971019434
"B","Oil",2049,547.429049811637
"B","LNG",2049,1221.93984332955
"B","LPG",2049,1086.16874962626
"B","MeOH",2049,1344.56257848472
"B","NH3",2049,1384.30334435126
"B","RefPO",2049,492.396499830573
"B","H2",2049,1368.57262452909
"G","Oil",2049,465.702127659574
"G","LNG",2049,823.294832826747
"G","LPG",2049,887.051671732522
"G","MeOH",2049,1111.14893617021
"G","NH3",2049,1156.22597212032
"G","RefPO",2049,413.95744680851
"G","H2",2049,1580.06079027356
"O","Oil",2049,244.355736591989
"O","LNG",2049,490.893220832121
"O","LPG",2049,509.074451233311
"O","MeOH",2049,707.3455532926
"O","NH3",2049,758.345389423414
"O","RefPO",2049,290.899686419035
